Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
2,True,Florianopolis_PR_Janssen,Florianopolis -> PR,ik,Florianopolis,-27.5945,-48.5477,PR,-24.89,-51.55,3.090,480,Janssen,aereo
2,True,Florianopolis_RS_Janssen,Florianopolis -> RS,ik,Florianopolis,-27.5945,-48.5477,RS,-30.01,-51.22,3.008,459,Janssen,aereo
2,True,Florianopolis_SP_CoronaVac,Florianopolis -> SP,ik,Florianopolis,-27.5945,-48.5477,SP,-23.55,-46.64,3.194,4777,CoronaVac,aereo
2,True,CampoGrande_AC_CoronaVac,CampoGrande -> AC,ik,CampoGrande,-20.4697,-54.6201,AC,-8.77,-70.55,5.892,648,CoronaVac,aereo
2,True,CampoGrande_AM_Pfizer,CampoGrande -> AM,ik,CampoGrande,-20.4697,-54.6201,AM,-3.07,-61.66,5.780,4632,Pfizer,aereo
2,True,CampoGrande_PR_AstraZeneca,CampoGrande -> PR,ik,CampoGrande,-20.4697,-54.6201,PR,-24.89,-51.55,3.349,597,AstraZeneca,aereo
2,True,CampoGrande_RO_CoronaVac,CampoGrande -> RO,ik,CampoGrande,-20.4697,-54.6201,RO,-11.22,-62.8,4.593,659,CoronaVac,aereo
2,True,Cuiaba_AM_Pfizer,Cuiaba -> AM,ik,Cuiaba,-15.601,-56.0974,AM,-3.07,-61.66,4.871,1838,Pfizer,aereo
2,True,Cuiaba_RO_Pfizer,Cuiaba -> RO,ik,Cuiaba,-15.601,-56.0974,RO,-11.22,-62.8,3.819,1663,Pfizer,aereo
2,True,Goiania_DF_Janssen,Goiania -> DF,ik,Goiania,-16.6869,-49.2648,DF,-15.83,-47.86,2.689,184,Janssen,aereo
2,True,AC_RioBranco_CoronaVac,AC -> RioBranco,kj,AC,-8.77,-70.55,RioBranco,-9.9724,-67.8101,2.935,652,CoronaVac,aereo
2,True,AL_Maceio_AstraZeneca,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,2.123,4488,AstraZeneca,rodoviario
2,True,AL_Maceio_CoronaVac,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,2.123,413,CoronaVac,rodoviario
2,True,AL_Maceio_Janssen,AL -> Maceio,kj,AL,-9.71,-35.73,Maceio,-9.6599,-35.7406,2.123,442,Janssen,rodoviario
2,True,AM_Manaus_Pfizer,AM -> Manaus,kj,AM,-3.07,-61.66,Manaus,-3.0922,-60.0604,2.689,13795,Pfizer,aereo
2,True,AM_Manaus_CoronaVac,AM -> Manaus,kj,AM,-3.07,-61.66,Manaus,-3.0922,-60.0604,2.689,3895,CoronaVac,aereo
2,True,AP_Macapa_CoronaVac,AP -> Macapa,kj,AP,1.41,-51.77,Macapa,0.0407,-51.0574,2.679,435,CoronaVac,aereo
2,True,BA_Salvador_Pfizer,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,2.035,932,Pfizer,rodoviario
2,True,BA_Salvador_AstraZeneca,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,2.035,5561,AstraZeneca,rodoviario
2,True,BA_Salvador_Janssen,BA -> Salvador,kj,BA,-12.96,-38.51,Salvador,-12.9742,-38.5125,2.035,1779,Janssen,rodoviario
2,True,CE_Fortaleza_Janssen,CE -> Fortaleza,kj,CE,-3.71,-38.54,Fortaleza,-3.7254,-38.5236,2.054,1049,Janssen,rodoviario
